antecedents,consequents,support,confidence,lift
"Do you attend your morning class regularly?=No, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.034378159757330634,1.0,3.0060790273556233
"Do you attend your morning class regularly?=Yes, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.028311425682507583,1.0,3.0060790273556233
"Do you attend your morning class regularly?=Yes, Your  current CGPA?=2.5",Your  current CGPA? (categorical)=Low,0.01314459049544995,1.0,3.0060790273556233
"Do you fill Fatigue?=No, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.024266936299292215,1.0,3.0060790273556233
"Do you fill Fatigue?=No, Your  current CGPA?=2.5",Your  current CGPA? (categorical)=Low,0.010111223458038422,1.0,3.0060790273556233
"Do you fill Fatigue?=Yes, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.03842264914054601,1.0,3.0060790273556233
"How many time you spend with family and friend?=Low, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.027300303336703743,1.0,3.0060790273556233
"How many time you spend with family and friend?=Low, Your  current CGPA?=2.5",Your  current CGPA? (categorical)=Low,0.011122345803842264,1.0,3.0060790273556233
"How many time you spend with family and friend?=Moderate, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.034378159757330634,1.0,3.0060790273556233
"The average time you spend playing games?=High, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.015166835187057633,1.0,3.0060790273556233
"The average time you spend playing games?=Low, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.011122345803842264,1.0,3.0060790273556233
"The average time you spend playing games?=Moderate, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.03640040444893832,1.0,3.0060790273556233
"The average time you spend playing games?=Moderate, Your  current CGPA?=2.5",Your  current CGPA? (categorical)=Low,0.01314459049544995,1.0,3.0060790273556233
"When you go to sleep?=Average, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.034378159757330634,1.0,3.0060790273556233
"When you go to sleep?=Healthy, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.011122345803842264,1.0,3.0060790273556233
"When you go to sleep?=Late, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.017189079878665317,1.0,3.0060790273556233
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=No, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.012133468149646108,1.0,3.0060790273556233
"Do you attend your morning class regularly?=No, Do you fill Fatigue?=Yes, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.022244691607684528,1.0,3.0060790273556233
"Do you attend your morning class regularly?=No, How many time you spend with family and friend?=Low, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.019211324570273004,1.0,3.0060790273556233
"Do you attend your morning class regularly?=No, How many time you spend with family and friend?=Moderate, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.014155712841253791,1.0,3.0060790273556233
"Do you attend your morning class regularly?=No, The average time you spend playing games?=Moderate, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.017189079878665317,1.0,3.0060790273556233
"Do you attend your morning class regularly?=No, When you go to sleep?=Average, Your  current CGPA?=2.0",Your  current CGPA? (categorical)=Low,0.017189079878665317,1.0,3.0060790273556233
