Are you Playing Online Games?,How much time spend in gaming?,When do you play the game most of the time during the day?,Do you feel Hamper in sleep?,Do  you feel the Headache?,Do you feel mental Stress?,Do you feel Depression?,Your reading attention level after the gaming?,Your Present Academic Result? 
Sometimes,<1 hour,Mid-Night,Sometimes,Sometimes,Yes,Yes,Good,Good
Yes,1-2 hours,Mid-Night,Sometimes,Yes,No,Yes,Good,Good
Yes,1-2 hours,Mid-Night,No,No,No,No,Good,Good
Sometimes,1-2 hours,Evening,No,Sometimes,Yes,Yes,Average,Average
Yes,1-2 hours,Mid-Night,Sometimes,Sometimes,No,Sometimes,Average,Good
No,<1 hour,Afternoon,No,No,No,No,Good,Average
Sometimes,1-2 hours,Afternoon,Sometimes,No,Sometimes,Sometimes,Average,Good
Sometimes,<1 hour,Evening,Yes,Yes,Sometimes,Sometimes,Average,Good
Yes,3-4 hours,Mid-Night,No,No,No,Yes,Excellent,Average
Yes,>5 hours,Mid-Night,No,Yes,Sometimes,Sometimes,Bad,Average
Yes,<1 hour,Evening,No,No,No,No,Excellent,Good
Yes,1-2 hours,Mid-Night,No,No,No,No,Average,Good
No,<1 hour,Mid-Night,Yes,Yes,Sometimes,No,Bad,Bad
Yes,1-2 hours,Evening,Yes,Yes,Sometimes,Sometimes,Bad,Average
Yes,1-2 hours,Evening,Sometimes,Sometimes,Yes,Sometimes,Good,Excellent
Yes,<1 hour,Mid-Night,Sometimes,No,No,Yes,Average,Good
No,<1 hour,Mid-Night,No,No,Yes,Yes,Excellent,Average
Sometimes,<1 hour,Mid-Night,No,No,No,No,Good,Good
Sometimes,<1 hour,Afternoon,No,No,No,No,Excellent,Good
No,<1 hour,Mid-Night,Yes,Yes,Yes,Yes,Excellent,Excellent
Sometimes,<1 hour,Afternoon,No,No,Yes,No,Average,Average
Yes,<1 hour,Mid-Night,No,No,Yes,Yes,Good,Good
Yes,<1 hour,Evening,Yes,No,Yes,Yes,Average,Average
Sometimes,1-2 hours,Evening,Sometimes,No,Sometimes,No,Average,Good
Yes,<1 hour,Evening,No,No,No,No,Good,Good
Yes,<1 hour,Mid-Night,No,No,No,No,Good,Good
Yes,3-4 hours,Mid-Night,Sometimes,Sometimes,Yes,Yes,Good,Average
Yes,1-2 hours,Mid-Night,Yes,Sometimes,Yes,Yes,Bad,Average
Yes,1-2 hours,Evening,Sometimes,Sometimes,Sometimes,Sometimes,Good,Average
Sometimes,<1 hour,Evening,No,Sometimes,Yes,Yes,Excellent,Good
